#snummer,fname,lname,dob,cohort,email,gender,grp,active
4113286,Rice,Emilio,1998-08-23,2021,emiliorice@student.fantys.nl,M,INF1-C,true
4113287,Wong,Zaiden,2003-02-05,2021,zaidenwong@student.fantys.nl,F,INF1-C,true
4113288,Barrera,Dale,1998-02-25,2021,dalebarrera@student.fantys.nl,M,INF1-B,true
4113289,Morse,Dominik,2001-01-30,2021,dominikmorse@student.fantys.nl,M,INF1-B,true
4113290,Logan,Reagan,1998-09-20,2021,reaganlogan@student.fantys.nl,M,INF1-C,true
4113291,Manning,Steven,1997-06-23,2021,stevenmanning@student.fantys.nl,M,INF1-A,true
4113292,Manning,Odin,2000-03-28,2021,odinmanning@student.fantys.nl,M,INF1-C,true
4113293,Richmond,Aarav,2001-05-03,2021,aaravrichmond@student.fantys.nl,F,INF1-B,true
4113294,Larson,Brenton,2002-01-01,2021,brentonlarson@student.fantys.nl,F,INF1-C,true
4113295,Kennedy,Octavio,2003-01-16,2021,octaviokennedy@student.fantys.nl,F,INF1-A,true
4113296,Thornton,Steven,1998-08-13,2021,steventhornton@student.fantys.nl,F,INF1-B,true
4113297,Simon,Elias,2002-11-13,2021,eliassimon@student.fantys.nl,M,INF1-B,true
4113298,Mcintosh,Seth,1997-02-08,2021,sethmcintosh@student.fantys.nl,F,INF1-B,true
4113299,Hoover,Marcus,1997-07-27,2021,marcushoover@student.fantys.nl,F,INF1-C,true
4113300,Mayer,Derek,1997-08-05,2021,derekmayer@student.fantys.nl,F,INF1-B,true
4113301,Logan,Franklin,1999-04-15,2021,franklinlogan@student.fantys.nl,M,INF1-B,true
4113302,Richmond,Jace,1998-03-19,2021,jacerichmond@student.fantys.nl,M,INF1-B,true
4113303,Janssen,Solomon,1996-04-22,2021,solomonjanssen@student.fantys.nl,M,INF1-A,true
4113304,Reynolds,Joaquin,1998-08-31,2021,joaquinreynolds@student.fantys.nl,M,INF1-B,true
4113305,Manning,Emilio,1999-05-13,2021,emiliomanning@student.fantys.nl,F,INF1-C,true
4113306,Sweeney,Dominik,1998-04-29,2021,dominiksweeney@student.fantys.nl,F,INF1-C,true
4113307,Morse,Octavio,1996-06-29,2021,octaviomorse@student.fantys.nl,F,INF1-B,true
4113308,Manning,Dale,1996-10-21,2021,dalemanning@student.fantys.nl,F,INF1-B,true
4113309,Sweeney,Derek,2001-07-09,2021,dereksweeney@student.fantys.nl,F,INF1-B,true
4113310,Mcintosh,Josiah,1997-11-07,2021,josiahmcintosh@student.fantys.nl,F,INF1-B,true
4113311,Rice,Jace,2001-07-22,2021,jacerice@student.fantys.nl,M,INF1-C,true
4113312,Hoover,Kaeden,1998-04-12,2021,kaedenhoover@student.fantys.nl,F,INF1-B,true
4113313,Mosley,Brenton,1997-07-07,2021,brentonmosley@student.fantys.nl,F,INF1-C,true
4113314,Shields,Sonny,1997-03-28,2021,sonnyshields@student.fantys.nl,M,INF1-C,true
4113315,Freeman,Stanley,1997-02-05,2021,stanleyfreeman@student.fantys.nl,M,INF1-B,true
4113316,Giles,Eddie,1997-01-17,2021,eddiegiles@student.fantys.nl,M,INF1-B,true
4113317,Bolton,Aarav,2002-11-17,2021,aaravbolton@student.fantys.nl,M,INF1-C,true
4113318,Kirby,Amari,1998-08-31,2021,amarikirby@student.fantys.nl,M,INF1-B,true
4113319,Mosley,Malachi,1997-12-16,2021,malachimosley@student.fantys.nl,M,INF1-B,true
4113320,Sawyer,Geovanni,1998-06-17,2021,geovannisawyer@student.fantys.nl,F,INF1-B,true
4113321,Phelps,Marcus,2000-04-02,2021,marcusphelps@student.fantys.nl,M,INF1-A,true
4113322,Gonzales,Quintin,1998-02-12,2021,quintingonzales@student.fantys.nl,M,INF1-B,true
4113323,Bolton,Malaki,1998-11-28,2021,malakibolton@student.fantys.nl,M,INF1-B,true
4113324,Graham,Malachi,2002-01-28,2021,malachigraham@student.fantys.nl,M,INF1-C,true
4113325,Zhang,Marcus,2001-07-23,2021,marcuszhang@student.fantys.nl,M,INF1-B,true
4113326,Benson,Diego,1997-02-23,2021,diegobenson@student.fantys.nl,F,INF1-B,true
4113327,Gallegos,Harper,2000-05-01,2021,harpergallegos@student.fantys.nl,M,INF1-C,true
4113328,Barrera,Edward,1997-06-03,2021,edwardbarrera@student.fantys.nl,M,INF1-B,true
4113329,Montoya,Emilio,1999-05-21,2021,emiliomontoya@student.fantys.nl,F,INF1-A,true
4113330,Jansen,Luciano,1997-12-12,2021,lucianojansen@student.fantys.nl,M,INF1-B,true
4113331,Strong,Marcus,1996-04-03,2021,marcusstrong@student.fantys.nl,F,INF1-C,true
4113332,Strong,Octavio,1996-09-01,2021,octaviostrong@student.fantys.nl,F,INF1-B,true
4113333,Dixon,Casey,2002-11-23,2021,caseydixon@student.fantys.nl,F,INF1-B,true
4113334,Lester,Braedon,2001-11-02,2021,braedonlester@student.fantys.nl,M,INF1-C,true
4113335,Mcintyre,Brenton,1999-01-03,2021,brentonmcintyre@student.fantys.nl,M,INF1-B,true
4113336,Sawyer,Marcus,2001-09-06,2021,marcussawyer@student.fantys.nl,M,INF1-B,true
4113337,Gallegos,Jakob,2000-09-29,2021,jakobgallegos@student.fantys.nl,F,INF1-C,true
4113338,Holden,George,1998-12-11,2021,georgeholden@student.fantys.nl,M,INF1-A,true
4113339,Freeman,Tucker,1996-05-17,2021,tuckerfreeman@student.fantys.nl,F,INF1-B,true
4113340,Guerra,Derek,2000-08-24,2021,derekguerra@student.fantys.nl,M,INF1-C,true
4113341,Donaldson,Luciano,2001-05-21,2021,lucianodonaldson@student.fantys.nl,M,INF1-C,true
4113342,Montoya,Aditya,1998-04-03,2021,adityamontoya@student.fantys.nl,M,INF1-B,true
4113343,Graham,Rashad,2002-03-19,2021,rashadgraham@student.fantys.nl,F,INF1-C,true
4113344,Bradford,Derek,2000-03-05,2021,derekbradford@student.fantys.nl,M,INF1-B,true
4113345,Sawyer,Sonny,2000-05-04,2021,sonnysawyer@student.fantys.nl,F,INF1-C,true
4113346,Reyes,Dale,1999-11-20,2021,dalereyes@student.fantys.nl,M,INF1-A,true
4113347,Kennedy,Quintin,1998-10-17,2021,quintinkennedy@student.fantys.nl,M,INF1-C,true
4113348,Mcintyre,Gaven,2001-01-10,2021,gavenmcintyre@student.fantys.nl,M,INF1-B,true
4113349,Smith,William,1997-11-05,2021,williamsmith@student.fantys.nl,F,INF1-C,true
4113350,Sawyer,Diego,2000-05-14,2021,diegosawyer@student.fantys.nl,F,INF1-B,true
4113351,Clayton,Gaven,2002-03-04,2021,gavenclayton@student.fantys.nl,F,INF1-B,true
4113352,Jansen,Malachi,2002-08-08,2021,malachijansen@student.fantys.nl,M,INF1-C,true
4113353,Richmond,William,2002-11-16,2021,williamrichmond@student.fantys.nl,M,INF1-B,true
